IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,AMR,Americas,Country,CHL,Chile,Year,2022,true,,,,,,,,,,,,,0.1,,,,,,0.1,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,AMR,Americas,Country,MEX,Mexico,Year,2022,true,,,,,,,,,,,,,0.1,,,,,,0.1,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,AMR,Americas,Country,ARG,Argentina,Year,2022,true,,,,,,,,,,,,,0.2,,,,,,0.2,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2022,true,,,,,,,,,,,,,0.2,,,,,,0.2,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,EUR,Europe,Country,DNK,Denmark,Year,2022,true,,,,,,,,,,,,,0.2,,,,,,0.2,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,EUR,Europe,Country,FRA,France,Year,2022,true,,,,,,,,,,,,,0.3,,,,,,0.3,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,EUR,Europe,Country,DEU,Germany,Year,2022,true,,,,,,,,,,,,,0.3,,,,,,0.3,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,AMR,Americas,Country,HND,Honduras,Year,2022,true,,,,,,,,,,,,,0.3,,,,,,0.3,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,EUR,Europe,Country,NLD,Netherlands (Kingdom of the),Year,2022,true,,,,,,,,,,,,,0.3,,,,,,0.3,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,EUR,Europe,Country,NOR,Norway,Year,2022,true,,,,,,,,,,,,,0.3,,,,,,0.3,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,AMR,Americas,Country,PAN,Panama,Year,2022,true,,,,,,,,,,,,,0.3,,,,,,0.3,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,EUR,Europe,Country,IRL,Ireland,Year,2022,true,,,,,,,,,,,,,0.4,,,,,,0.4,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,AMR,Americas,Country,PER,Peru,Year,2022,true,,,,,,,,,,,,,0.4,,,,,,0.4,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,EUR,Europe,Country,PRT,Portugal,Year,2022,true,,,,,,,,,,,,,0.4,,,,,,0.4,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,EUR,Europe,Country,AND,Andorra,Year,2022,true,,,,,,,,,,,,,0.5,,,,,,0.5,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,AMR,Americas,Country,BRA,Brazil,Year,2022,true,,,,,,,,,,,,,0.5,,,,,,0.5,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,EUR,Europe,Country,ISL,Iceland,Year,2022,true,,,,,,,,,,,,,0.5,,,,,,0.5,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,EUR,Europe,Country,ITA,Italy,Year,2022,true,,,,,,,,,,,,,0.5,,,,,,0.5,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,EUR,Europe,Country,MCO,Monaco,Year,2022,true,,,,,,,,,,,,,0.5,,,,,,0.5,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2022,true,,,,,,,,,,,,,0.5,,,,,,0.5,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,EUR,Europe,Country,SMR,San Marino,Year,2022,true,,,,,,,,,,,,,0.5,,,,,,0.5,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,AMR,Americas,Country,COL,Colombia,Year,2022,true,,,,,,,,,,,,,0.6,,,,,,0.6,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,AMR,Americas,Country,CUB,Cuba,Year,2022,true,,,,,,,,,,,,,0.6,,,,,,0.6,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,AMR,Americas,Country,ECU,Ecuador,Year,2022,true,,,,,,,,,,,,,0.6,,,,,,0.6,,,EN,2025-01-07T18:30:00.000Z
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),numeric,AMR,Americas,Country,GTM,Guatemala,Year,2022,true,,,,,,,,,,,,,0.6,,,,,,0.6,,,EN,2025-01-07T18:30:00.000Z
